70 1 70 70 444 
70 2 139 71 436 
70 3 207 73 449 
70 4 274 75 454 
70 5 340 76 486 
70 6 405 78 483 
70 7 469 83 487 
70 8 532 86 461 
70 9 594 88 488 
70 10 655 92 510 
70 11 715 97 515 
70 12 774 98 518 
70 13 832 104 522 
70 14 889 107 529 
70 15 945 114 522 
70 16 1000 116 537 
70 17 1054 120 545 
70 18 1107 124 527 
70 19 1159 128 546 
70 20 1210 132 553 
70 21 1260 142 548 
70 22 1309 144 574 
70 23 1357 145 571 
70 24 1404 151 582 
70 25 1450 157 590 
70 26 1495 163 597 
70 27 1539 167 601 
70 28 1582 168 591 
70 29 1624 175 612 
70 30 1665 178 616 
70 31 1705 179 617 
70 32 1744 195 632 
70 33 1782 194 635 
70 34 1819 200 642 
70 35 1855 205 648 
70 36 1890 213 657 
70 37 1924 218 663 
70 38 1957 217 662 
70 39 1989 228 674 
70 40 2020 236 681 
70 41 2050 241 690 
70 42 2079 241 691 
70 43 2107 250 701 
70 44 2134 256 708 
70 45 2160 253 706 
70 46 2185 270 724 
70 47 2209 271 726 
70 48 2232 281 737 
70 49 2254 285 742 
70 50 2275 296 753 
70 51 2295 297 753 
70 52 2314 293 753 
70 53 2332 303 764 
70 54 2349 315 776 
70 55 2365 323 786 
70 56 2380 331 795 
70 57 2394 335 800 
70 58 2407 336 802 
70 59 2419 347 814 
70 60 2430 354 822 
70 61 2440 360 829 
70 62 2449 362 832 
70 63 2457 365 836 
70 64 2464 368 840 
70 65 2470 382 855 
70 66 2475 386 860 
70 67 2479 395 870 
70 68 2482 394 870 
70 69 2484 400 877 
70 70 2485 415 893 
